Förvaltning;Leverantör;Organisationsnummer;Verifikationsnummer;Konto;Kontotext;Belopp exkl moms
163 - Socialnämnden Nordost;NICOLE AJAKAYE;;1631114400;7499;Övriga främmande tjänster;35 000,00
163 - Socialnämnden Nordost;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;1631112249;7499;Övriga främmande tjänster;1 740,00
300 - Stadsbyggnadsnämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;3001072870;7499;Övriga främmande tjänster;1 000,00
300 - Stadsbyggnadsnämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;3001072852;7499;Övriga främmande tjänster;7 000,00
560 - Kretslopp och vattennämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;5601374600;7231;Reklam och information;1 740,00
010 - Kommunstyrelsen;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;101082901;7611;Avgifter;320,00
164 - Socialnämnden Centrum;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;1641092508;7641;Diverse skatter och offentliga avgifter;320,00
166 - Socialnämnden Hisingen;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;1661083368;7611;Avgifter;320,00
230 - Stadsfastighetsnämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;2302184357;7641;Diverse skatter och offentliga avgifter;870,00
400 - Stadsmiljönämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;4001290600;7499;Övriga främmande tjänster;870,00
400 - Stadsmiljönämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;4001284856;7611;Avgifter;870,00
400 - Stadsmiljönämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;4001285873;7611;Avgifter;870,00
163 - Socialnämnden Nordost;SOCIALSTYRELSEN (FB);2021000555;1631113016;6431;Böcker tidningar och elektronisk media;2 931,45
166 - Socialnämnden Hisingen;SOCIALSTYRELSEN (FB);2021000555;1661081318;6431;Böcker tidningar och elektronisk media;306,32
400 - Stadsmiljönämnden;SMHI;2021000696;4001290035;7433;IT-program och licensavgifter;13 333,00
400 - Stadsmiljönämnden;SMHI;2021000696;4001284417;4630;Köp av huvudverksamhet;14 261,00
400 - Stadsmiljönämnden;SMHI;2021000696;4001290036;4630;Köp av huvudverksamhet;14 261,00
900 - Kommuncentrala poster;TULLVERKET;2021000969;9001003942;2882;Avräkningsskulder;290,00
164 - Socialnämnden Centrum;RIKSARKIVET;2021001074;1641092361;7451;Administrativa konsulttjänster;250,00
164 - Socialnämnden Centrum;RIKSARKIVET;2021001074;1641092362;7451;Administrativa konsulttjänster;1 500,00
164 - Socialnämnden Centrum;RIKSARKIVET;2021001074;1641092453;7451;Administrativa konsulttjänster;1 500,00
010 - Kommunstyrelsen;ARBETSMILJÖVERKET;2021002148;101083547;7499;Övriga främmande tjänster;1 187,72
200 - Exploateringsnämnden;LÄNSSTYRELSEN I VÄSTRA GÖTALAND;2021002361;2001225825;7641;Diverse skatter och offentliga avgifter;2 900,00
400 - Stadsmiljönämnden;LÄNSSTYRELSEN I VÄSTRA GÖTALAND;2021002361;4001290903;7453;Tekniska konsulttjänster;2 900,00
400 - Stadsmiljönämnden;LÄNSSTYRELSEN I VÄSTRA GÖTALANDS LÄN;2021002361;4001285748;7611;Avgifter;870,00
800 - Miljö- och klimatnämnden;RIKSDAGSFÖRVALTNINGEN;2021002627;8001036407;6551;Trycksaker och blanketter mm;123,56
560 - Kretslopp och vattennämnden;GÖTEBORGS TINGSRÄTT;2021002742;5601374701;7459;Övriga konsulttjänster;140 000,00
165 - Socialnämnden Sydväst;UDDEVALLA TINGSRÄTT, SV DOMSTOLAR;2021002742;1651131889;7641;Diverse skatter och offentliga avgifter;900,00
560 - Kretslopp och vattennämnden;STOCKHOLMS UNIVERSITET;2021003062;5601372412;4103;Naturprod reservd övr anl/underhållsmtrl;16 290,00
152 - Valnämnden;GÖTEBORGS UNIVERSITET;2021003153;1521003245;6011;Lokalhyror;23 000,00
900 - Kommuncentrala poster;GÖTEBORGS UNIVERSITET;2021003153;9001003923;7611;Avgifter;2 000 000,00
393 - Idrotts- och föreningsnämnden;GÖTEBORGS UNIVERSITET;2021003153;3931238208;6011;Lokalhyror;1 123 013,00
160 - Äldre samt vård- och omsorgsnämnden;GÖTEBORGS UNIVERSITET;2021003153;1601669509;7491;Tjänster välfärd och utbildningsinsatser;50 000,00
163 - Socialnämnden Nordost;GÖTEBORGS UNIVERSITET;2021003153;1631111995;7499;Övriga främmande tjänster;17 667,25
160 - Äldre samt vård- och omsorgsnämnden;MYNDIGHETEN FÖR TILLGÄNGLIGA MEDIER;2021003591;1601665582;6461;Förbrukningsmaterial;470,75
609 - Grundskolenämnden;MYNDIGHETEN FÖR TILLGÄNGLIGA MEDIER;2021003591;6092207047;6431;Böcker tidningar och elektronisk media;744,34
161 - Nämnden för funktionsstöd;MYNDIGHETEN FÖR TILLGÄNGLIGA MEDIER;2021003591;1611410429;6431;Böcker tidningar och elektronisk media;744,34
161 - Nämnden för funktionsstöd;MYNDIGHETEN FÖR TILLGÄNGLIGA MEDIER;2021003591;1611399692;6431;Böcker tidningar och elektronisk media;891,51
400 - Stadsmiljönämnden;JORDBRUKSVERKET DISTRIKTSVETERINÄRE;2021004151;4001290941;7499;Övriga främmande tjänster;5 468,75
400 - Stadsmiljönämnden;JORDBRUKSVERKET DISTRIKTSVETERINÄRE;2021004151;4001291164;7499;Övriga främmande tjänster;4 673,54
400 - Stadsmiljönämnden;JORDBRUKSVERKET DISTRIKTSVETERINÄRE;2021004151;4001290793;7499;Övriga främmande tjänster;2 355,20
400 - Stadsmiljönämnden;JORDBRUKSVERKET DISTRIKTSVETERINÄRE;2021004151;4001283956;7499;Övriga främmande tjänster;3 201,60
400 - Stadsmiljönämnden;JORDBRUKSVERKET DISTRIKTSVETERINÄRE;2021004151;4001283841;7499;Övriga främmande tjänster;4 395,90
400 - Stadsmiljönämnden;JORDBRUKSVERKET DISTRIKTSVETERINÄRE;2021004151;4001284866;7499;Övriga främmande tjänster;2 195,28
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112240;4630;Köp av huvudverksamhet;21 600,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112242;4630;Köp av huvudverksamhet;180 000,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112244;4630;Köp av huvudverksamhet;21 600,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112226;4630;Köp av huvudverksamhet;122 880,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112226;4630;Köp av huvudverksamhet;22 620,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112234;4630;Köp av huvudverksamhet;184 320,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112236;4630;Köp av huvudverksamhet;33 930,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112233;4630;Köp av huvudverksamhet;67 584,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112233;4630;Köp av huvudverksamhet;12 441,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112243;4630;Köp av huvudverksamhet;10 800,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112227;4630;Köp av huvudverksamhet;184 320,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112227;4630;Köp av huvudverksamhet;33 930,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112235;4630;Köp av huvudverksamhet;104 448,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112235;4630;Köp av huvudverksamhet;19 227,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112236;4630;Köp av huvudverksamhet;184 320,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112238;4630;Köp av huvudverksamhet;33 930,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112225;4630;Köp av huvudverksamhet;12 288,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112225;4630;Köp av huvudverksamhet;2 262,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112225;4630;Köp av huvudverksamhet;31 668,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112225;4630;Köp av huvudverksamhet;172 032,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112241;4630;Köp av huvudverksamhet;180 000,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112232;4630;Köp av huvudverksamhet;33 930,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112223;4630;Köp av huvudverksamhet;86 016,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112223;4630;Köp av huvudverksamhet;15 834,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112230;4630;Köp av huvudverksamhet;184 320,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112230;4630;Köp av huvudverksamhet;33 930,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112238;4630;Köp av huvudverksamhet;184 320,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112228;4630;Köp av huvudverksamhet;33 930,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112231;4630;Köp av huvudverksamhet;33 930,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112231;4630;Köp av huvudverksamhet;184 320,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112239;4630;Köp av huvudverksamhet;6 000,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112239;4630;Köp av huvudverksamhet;180 000,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112232;4630;Köp av huvudverksamhet;302 460,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112234;4630;Köp av huvudverksamhet;33 930,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112229;4630;Köp av huvudverksamhet;147 456,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112229;4630;Köp av huvudverksamhet;27 144,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112224;4630;Köp av huvudverksamhet;184 320,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112224;4630;Köp av huvudverksamhet;33 930,00
163 - Socialnämnden Nordost;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1631112228;4630;Köp av huvudverksamhet;184 320,00
165 - Socialnämnden Sydväst;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1651130656;4630;Köp av huvudverksamhet;336 890,00
165 - Socialnämnden Sydväst;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1651130655;4630;Köp av huvudverksamhet;218 250,00
165 - Socialnämnden Sydväst;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1651127917;4630;Köp av huvudverksamhet;101 850,00
165 - Socialnämnden Sydväst;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1651127927;4630;Köp av huvudverksamhet;116 400,00
165 - Socialnämnden Sydväst;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1651130657;4630;Köp av huvudverksamhet;12 000,00
165 - Socialnämnden Sydväst;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1651127924;4630;Köp av huvudverksamhet;42 175,00
165 - Socialnämnden Sydväst;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1651130658;4630;Köp av huvudverksamhet;126 000,00
165 - Socialnämnden Sydväst;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1651130659;4630;Köp av huvudverksamhet;148 320,00
164 - Socialnämnden Centrum;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1641090490;4630;Köp av huvudverksamhet;218 250,00
164 - Socialnämnden Centrum;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1641090489;4630;Köp av huvudverksamhet;218 250,00
164 - Socialnämnden Centrum;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1641090495;4630;Köp av huvudverksamhet;180 000,00
164 - Socialnämnden Centrum;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1641090496;4630;Köp av huvudverksamhet;95 520,00
164 - Socialnämnden Centrum;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1641090494;4630;Köp av huvudverksamhet;221 300,00
164 - Socialnämnden Centrum;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1641090493;4630;Köp av huvudverksamhet;36 375,00
166 - Socialnämnden Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661080175;4630;Köp av huvudverksamhet;225 525,00
166 - Socialnämnden Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661080172;4630;Köp av huvudverksamhet;225 525,00
166 - Socialnämnden Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661080179;4630;Köp av huvudverksamhet;225 525,00
166 - Socialnämnden Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661080181;4630;Köp av huvudverksamhet;225 525,00
166 - Socialnämnden Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661080185;4630;Köp av huvudverksamhet;225 525,00
166 - Socialnämnden Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661081896;4630;Köp av huvudverksamhet;218 250,00
166 - Socialnämnden Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661081901;4630;Köp av huvudverksamhet;218 250,00
166 - Socialnämnden Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661081905;4630;Köp av huvudverksamhet;218 250,00
166 - Socialnämnden Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661080156;4630;Köp av huvudverksamhet;225 525,00
166 - Socialnämnden Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661081899;4630;Köp av huvudverksamhet;36 375,00
166 - Socialnämnden Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661081910;4630;Köp av huvudverksamhet;80 025,00
166 - Socialnämnden Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661081909;4630;Köp av huvudverksamhet;145 500,00
166 - Socialnämnden Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661081906;4630;Köp av huvudverksamhet;218 250,00
166 - Socialnämnden Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661081908;4630;Köp av huvudverksamhet;168 000,00
166 - Socialnämnden Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661081912;4630;Köp av huvudverksamhet;21 600,00
166 - Socialnämnden Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661081913;4630;Köp av huvudverksamhet;158 880,00
166 - Socialnämnden Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661080159;4630;Köp av huvudverksamhet;14 550,00
166 - Socialnämnden Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661080169;4630;Köp av huvudverksamhet;174 600,00
166 - Socialnämnden Hisingen;STATENS INSTITUTIONSSTYRELSE SIS;2021004508;1661081903;4630;Köp av huvudverksamhet;218 250,00
200 - Exploateringsnämnden;LANTMÄTERIET FAST.INSKRIVNING;2021004888;2001224295;7641;Diverse skatter och offentliga avgifter;375,00
200 - Exploateringsnämnden;LANTMÄTERIET FAST.INSKRIVNING;2021004888;2001224550;7641;Diverse skatter och offentliga avgifter;249 840,00
200 - Exploateringsnämnden;LANTMÄTERIET FAST.INSKRIVNING;2021004888;2001224550;7641;Diverse skatter och offentliga avgifter;400 515,00
200 - Exploateringsnämnden;LANTMÄTERIET FAST.INSKRIVNING;2021004888;2001224550;7641;Diverse skatter och offentliga avgifter;105 360,00
200 - Exploateringsnämnden;LANTMÄTERIET FAST.INSKRIVNING;2021004888;2001225817;7641;Diverse skatter och offentliga avgifter;375,00
200 - Exploateringsnämnden;LANTMÄTERIET FAST.INSKRIVNING;2021004888;2001224549;7361;Straffavgifter och skadestånd;375,00
200 - Exploateringsnämnden;STATENS HISTORISKA MUSEER;2021004953;2001226319;7453;Tekniska konsulttjänster;153 711,00
163 - Socialnämnden Nordost;SKATTEVERKET;2021005448;1631112158;7432;IT tjänster;4 210,35
163 - Socialnämnden Nordost;SKATTEVERKET;2021005448;1631112160;7432;IT tjänster;200,00
690 - Kulturnämnden;SKATTEVERKET;2021005448;6901234715;7431;Administrativa tjänster;263,98
160 - Äldre samt vård- och omsorgsnämnden;SKATTEVERKET;2021005448;1601669266;7499;Övriga främmande tjänster;1 300,00
608 - Förskolenämnden;SKATTEVERKET;2021005448;6081779649;7433;IT-program och licensavgifter;200,00
164 - Socialnämnden Centrum;SKATTEVERKET;2021005448;1641092302;7453;Tekniska konsulttjänster;409,55
300 - Stadsbyggnadsnämnden;SKATTEVERKET;2021005448;3001073207;7433;IT-program och licensavgifter;1 675,22
200 - Exploateringsnämnden;SKATTEVERKET;2021005448;2001225258;7433;IT-program och licensavgifter;200,00
060 - Nämnden för Intraservice;SKATTEVERKET;2021005448;601186828;7499;Övriga främmande tjänster;200,00
060 - Nämnden för Intraservice;SKATTEVERKET;2021005448;601186408;7499;Övriga främmande tjänster;1 996,86
609 - Grundskolenämnden;SKATTEVERKET;2021005448;6092194864;7431;Administrativa tjänster;200,00
625 - Nämnden för arbetsmarknad och vuxenutb;SKATTEVERKET;2021005448;6251057505;6813;IT-kommunikation;2 159,12
625 - Nämnden för arbetsmarknad och vuxenutb;SKATTEVERKET;2021005448;6251057506;6813;IT-kommunikation;199,98
300 - Stadsbyggnadsnämnden;BOLAGSVERKET;2021005489;3001073051;7499;Övriga främmande tjänster;276,00
300 - Stadsbyggnadsnämnden;BOLAGSVERKET;2021005489;3001073009;7499;Övriga främmande tjänster;2 800,00
800 - Miljö- och klimatnämnden;BOLAGSVERKET;2021005489;8001036529;7459;Övriga konsulttjänster;758,00
800 - Miljö- och klimatnämnden;BOLAGSVERKET;2021005489;8001036529;7459;Övriga konsulttjänster;758,00
230 - Stadsfastighetsnämnden;BOLAGSVERKET;2021005489;2302177707;6431;Böcker tidningar och elektronisk media;100,00
161 - Nämnden för funktionsstöd;FÖRSÄKRINGSKASSAN;2021005521;1611407008;4538;Ers personlig assistent endast till FK;18 619 691,00
163 - Socialnämnden Nordost;KRONOFOGDEN;2021005646;1631111575;7611;Avgifter;300,00
165 - Socialnämnden Sydväst;KRONOFOGDEN;2021005646;1651130213;7499;Övriga främmande tjänster;3 738,00
300 - Stadsbyggnadsnämnden;KRONOFOGDEN;2021005646;3001072843;7611;Avgifter;300,00
300 - Stadsbyggnadsnämnden;KRONOFOGDEN;2021005646;3001073048;7611;Avgifter;300,00
200 - Exploateringsnämnden;KRONOFOGDEN;2021005646;2001224577;7641;Diverse skatter och offentliga avgifter;300,00
166 - Socialnämnden Hisingen;KRONOFOGDEN;2021005646;1661083847;7611;Avgifter;300,00
166 - Socialnämnden Hisingen;KRONOFOGDEN;2021005646;1661083846;7611;Avgifter;300,00
200 - Exploateringsnämnden;KRONOFOGDEN;2021005646;2001225819;7641;Diverse skatter och offentliga avgifter;1 675,00
165 - Socialnämnden Sydväst;KRONOFOGDEN;2021005646;1651133120;7499;Övriga främmande tjänster;300,00
164 - Socialnämnden Centrum;KRONOFOGDEN;2021005646;1641092451;7611;Avgifter;300,00
164 - Socialnämnden Centrum;KRONOFOGDEN;2021005646;1641092595;7611;Avgifter;300,00
609 - Grundskolenämnden;SPECIALPEDAGOGISKA SKOLMYNDIGHETEN;2021005745;6092189757;6431;Böcker tidningar och elektronisk media;3 690,54
610 - Utbildningsnämnden;TRANSPORT STYRELSEN;2021006099;6101611384;6961;Trängselskatt;286,00
610 - Utbildningsnämnden;TRANSPORT STYRELSEN;2021006099;6101606041;6961;Trängselskatt;885,00
610 - Utbildningsnämnden;TRANSPORT STYRELSEN;2021006099;6101606041;6961;Trängselskatt;18,00
610 - Utbildningsnämnden;TRANSPORTSTYRELSEN;2021006099;6101606966;7611;Avgifter;46 000,00
560 - Kretslopp och vattennämnden;TRANSPORTSTYRELSEN;2021006099;5601375719;6921;Fordonsskatt;9 777,00
560 - Kretslopp och vattennämnden;TRANSPORTSTYRELSEN;2021006099;5601375720;6921;Fordonsskatt;1 828,00
400 - Stadsmiljönämnden;TRANSPORTSTYRELSEN;2021006099;4001284854;6921;Fordonsskatt;791,00
400 - Stadsmiljönämnden;TRANSPORTSTYRELSEN;2021006099;4001284853;6921;Fordonsskatt;2 807,00
400 - Stadsmiljönämnden;TRANSPORTSTYRELSEN;2021006099;4001284855;6921;Fordonsskatt;2 001,00
610 - Utbildningsnämnden;TRANSPORTSTYRELSEN;2021006099;6101608787;7611;Avgifter;15 371,00
610 - Utbildningsnämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;6101611406;6961;Trängselskatt;130,00
610 - Utbildningsnämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;6101611408;6961;Trängselskatt;174,00
610 - Utbildningsnämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;6101611411;6961;Trängselskatt;25,00
610 - Utbildningsnämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;6101606464;6961;Trängselskatt;108,00
690 - Kulturnämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;6901234995;6961;Trängselskatt;468,00
690 - Kulturnämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;6901234996;6961;Trängselskatt;516,00
400 - Stadsmiljönämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;4001284404;6961;Trängselskatt;907,00
400 - Stadsmiljönämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;4001284408;6961;Trängselskatt;552,00
400 - Stadsmiljönämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;4001291116;6961;Trängselskatt;660,00
400 - Stadsmiljönämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;4001291117;6961;Trängselskatt;308,00
400 - Stadsmiljönämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;4001284406;7611;Avgifter;962,00
400 - Stadsmiljönämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;4001284407;7611;Avgifter;432,00
400 - Stadsmiljönämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;4001291114;6961;Trängselskatt;506,00
400 - Stadsmiljönämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;4001291118;6961;Trängselskatt;463,00
400 - Stadsmiljönämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;4001291115;6961;Trängselskatt;714,00
560 - Kretslopp och vattennämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;5601374648;6961;Trängselskatt;566,00
560 - Kretslopp och vattennämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;5601374650;6961;Trängselskatt;68,00
560 - Kretslopp och vattennämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;5601376061;6961;Trängselskatt;222,00
560 - Kretslopp och vattennämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;5601376063;6961;Trängselskatt;517,00
560 - Kretslopp och vattennämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;5601376064;6961;Trängselskatt;555,00
560 - Kretslopp och vattennämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;5601374649;6961;Trängselskatt;162,00
560 - Kretslopp och vattennämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;5601374647;6961;Trängselskatt;711,00
560 - Kretslopp och vattennämnden;TRANSPORTSTYRELSENS TRÄNGSELSKATT;2021006099;5601374651;6961;Trängselskatt;613,00
610 - Utbildningsnämnden;MYNDIGHETEN FÖR YRKESHÖGSKOLAN;2021006230;6101608601;7499;Övriga främmande tjänster;18 664,00
200 - Exploateringsnämnden;TRAFIKVERKET;2021006297;2001224011;6183;Anläggn/reparation entrepr projektering;1 571 998,50
200 - Exploateringsnämnden;TRAFIKVERKET;2021006297;2001224012;6183;Anläggn/reparation entrepr projektering;1 766 330,50
200 - Exploateringsnämnden;TRAFIKVERKET;2021006297;2001224013;6183;Anläggn/reparation entrepr projektering;419 010,50
200 - Exploateringsnämnden;TRAFIKVERKET;2021006297;2001226856;6185;Anläggningsentreprenad;8 767 163,69
200 - Exploateringsnämnden;TRAFIKVERKET;2021006297;2001226856;6185;Anläggningsentreprenad;14 927 873,06
400 - Stadsmiljönämnden;TRAFIKVERKET;2021006297;4001288738;7459;Övriga konsulttjänster;-2,00
400 - Stadsmiljönämnden;TRAFIKVERKET;2021006297;4001288738;7499;Övriga främmande tjänster;-7 522,00
400 - Stadsmiljönämnden;TRAFIKVERKET;2021006297;4001288738;7498;Arbetad tid;-1 518 212,00
400 - Stadsmiljönämnden;TRAFIKVERKET;2021006297;4001288738;7498;Arbetad tid;-72 689,00
400 - Stadsmiljönämnden;TRAFIKVERKET;2021006297;4001288738;7498;Arbetad tid;-9 841,00
400 - Stadsmiljönämnden;TRAFIKVERKET;2021006297;4001288738;7111;Personalrepresentation/uppvaktning;-1 501,00
400 - Stadsmiljönämnden;TRAFIKVERKET;2021006297;4001288738;6011;Lokalhyror;-31 104,00
400 - Stadsmiljönämnden;TRAFIKVERKET;2021006297;4001288738;6011;Lokalhyror;-52 992,00
400 - Stadsmiljönämnden;TRAFIKVERKET;2021006297;4001290960;6011;Lokalhyror;379 737,00
400 - Stadsmiljönämnden;TRAFIKVERKET;2021006297;4001290960;6011;Lokalhyror;28 944,00
400 - Stadsmiljönämnden;TRAFIKVERKET;2021006297;4001290960;6011;Lokalhyror;52 223,00
400 - Stadsmiljönämnden;TRAFIKVERKET;2021006297;4001290960;7459;Övriga konsulttjänster;82 133,00
400 - Stadsmiljönämnden;TRAFIKVERKET;2021006297;4001290960;7471;Företagshälsovård/rehabilitering;332,00
400 - Stadsmiljönämnden;TRAFIKVERKET;2021006297;4001290960;7059;Övriga resekostnader;3 851,00
400 - Stadsmiljönämnden;TRAFIKVERKET;2021006297;4001290960;7059;Övriga resekostnader;1 057,00
400 - Stadsmiljönämnden;TRAFIKVERKET;2021006297;4001290960;7651;Kurs- och konferensavgifter mm;76 156,00
400 - Stadsmiljönämnden;TRAFIKVERKET;2021006297;4001288738;6011;Lokalhyror;-403 129,00
400 - Stadsmiljönämnden;TRAFIKVERKET;2021006297;4001288738;7111;Personalrepresentation/uppvaktning;-879,75
